1938,0,283,237,343,642,1676,1778,2062,2011,789,562,199
1939,166,21,197,948,414,1530,1549,1369,1243,2783,1830,44
1940,6,8,170,474,1328,1730,2003,1928,1272,1890,2362,376
1941,106,56,18,410,937,1871,1133,1255,1723,1620,1224,722
1942,1,22,41,554,648,1999,1743,1432,1027,1409,613,856
1943,558,104,78,531,2199,1699,1759,916,1401,3063,995,218
1944,94,204,723,217,622,1711,2007,1150,1304,2343,1667,492
1945,21,25,23,492,499,1293,2390,1433,1093,1291,1120,61
1946,59,19,299,483,678,1937,1764,1896,1396,1550,2771,1534
1947,304,119,253,542,381,1421,2112,2351,1922,1444,258,403
1948,208,61,129,349,872,1733,1784,1640,1097,1210,1903,169
1949,34,8,7,384,1442,1574,2414,1968,1918,1703,569,19
1950,4,310,110,94,785,1413,2284,1514,1655,1495,951,141
1951,47,3,208,781,894,1767,2159,1011,1432,1140,1207,45
1952,49,211,60,261,1236,1410,1424,1295,514,1739,142,1033
1953,94,51,30,696,345,1321,2941,1153,1426,3129,437,61
1954,275,13,333,430,914,1536,2359,1846,1097,2344,108,587
1955,114,25,115,621,2015,1661,1402,1652,1934,2071,888,648
1956,93,17,15,561,1060,2045,1931,1281,1565,2890,1553,294
1957,7,37,145,197,1172,2208,1930,1491,836,1722,1333,271
1958,58,71,145,517,1164,1626,1758,2068,1123,1981,1313,126
1959,24,237,8,508,935,2160,2619,1372,1608,1417,966,258
1960,28,37,145,413,1141,1317,2210,949,2216,1180,2181,142
1961,278,145,32,300,1363,2473,2895,2091,1571,1941,810,184
1962,77,167,89,503,1540,919,2081,2020,1899,3065,457,610
1963,298,40,196,551,520,1293,1935,2041,1196,2064,820,579
1964,7,6,112,151,519,1231,2520,1874,2309,1568,1317,285
1965,38,39,40,389,477,1353,1486,1752,1192,730,752,1065
1966,136,23,78,247,747,1430,1976,1400,1764,1992,2339,560
1967,200,1,308,218,644,1602,2422,1336,1052,1309,723,928
1968,24,84,250,713,398,1562,2421,815,1699,1350,1015,342
1969,9,40,39,318,1131,1282,2017,1511,874,2532,1401,758
1970,57,58,101,478,1189,1609,1749,2212,1342,1836,908,49
1971,114,110,206,624,1078,1753,1651,1727,1564,1746,362,637
1972,18,40,2,229,1452,1436,1564,840,1546,2470,900,965
1973,0,1,18,236,577,1505,1680,1946,1225,2119,591,535
1974,7,99,76,345,1037,1036,2337,1397,2448,1696,426,75
1975,20,47,296,236,743,2287,2241,2075,2014,2385,1173,170
1976,5,1,83,528,386,903,1955,1889,811,1348,2349,190
1977,12,65,113,492,1258,1666,1999,1592,1117,2666,2406,92
1978,53,187,44,387,1077,1996,2257,1765,1829,1228,1734,841
1979,8,279,62,257,821,1673,1570,1148,1967,1161,2785,284
1980,6,8,42,446,523,1940,1900,1617,1093,1323,1423,335
1981,120,21,243,299,760,2020,1850,1841,2244,1992,807,311
1982,7,0,55,266,668,1654,1616,1525,1010,1384,1416,163
1983,2,16,31,52,664,1411,2043,2477,2520,1421,659,1182
1984,192,802,626,519,352,1505,2083,826,1311,1354,799,357
1985,448,46,113,273,543,1831,1497,1496,1134,1468,1107,583
1986,398,227,102,247,502,1593,1098,1741,1442,1320,1158,238
1987,79,1,192,212,495,1619,943,1706,1119,2162,1697,915
1988,0,39,168,682,720,1397,2411,2404,2232,597,569,314
1989,23,0,274,253,526,1719,2811,1385,1783,1070,789,207
1990,265,123,290,189,2170,1280,1451,1697,1191,2099,1235,153
1991,147,29,67,316,581,2839,1996,1626,1399,2099,1721,138
1992,55,7,0,209,720,1927,1876,1837,1553,1455,2260,201
1993,2,31,91,243,654,1532,1990,1418,1123,2579,1636,1034
1994,115,157,42,521,646,1722,2376,1532,886,2672,1509,192
1995,247,11,132,345,1880,1444,2299,2068,1347,1691,715,14
1996,15,19,26,683,417,2490,1881,1865,2052,2195,678,1114
1997,119,11,171,440,498,1505,2207,1632,1859,1822,1888,1184
1998,52,56,41,410,540,1745,1967,1744,2326,2024,1508,787
1999,23,82,20,419,1314,1599,1907,1183,1022,2465,912,223
2000,105,582,36,380,821,1827,1477,2527,1406,1375,696,457
2001,65,69,24,943,676,1383,1489,1291,1652,2110,825,273
2002,167,234,54,261,993,1481,845,1329,655,2260,780,127
2003,16,76,282,329,299,1592,2046,1480,921,2153,614,231
2004,53,13,64,405,2241,1518,1662,1095,1558,1851,847,76
2005,48,69,68,942,716,1349,2142,1411,1808,3022,1569,620
2006,49,3,470,350,1437,1777,1457,1390,1798,2181,1368,145
2007,19,67,20,596,724,2426,1988,2296,2058,2092,457,667
2008,86,383,1316,301,501,1324,1615,1968,1323,1743,1742,207
2009,25,0,199,280,705,1286,2000,1525,1888,799,2040,537
2010,125,1,91,445,1261,1807,2516,2060,1734,2165,2678,794
2011,73,191,52,753,653,1551,1992,1984,1339,1638,1351,365
2012,102,13,54,602,462,1248,1404,1985,1262,1950,1209,223
2013,35,273,198,244,636,2152,2056,1509,1786,1910,856,181
2014,39,37,120,238,1186,1110,1822,2151,1364,1951,671,333
