1982,39.9,20.4,100.1,17.3,23.6,225,14.7,83.5,56.4,54.7,117.5,78.7
1983,98.7,39.9,65.7,121.2,127,7.6,44.4,31.3,120.1,66.9,41.2,142.2
1984,160.2,79.7,52.3,10,55.4,40.9,13.3,81.9,117.6,82.7,124.9,47.6
1985,73,4.6,48.8,69.5,63.4,76.5,46.4,87.9,14.2,33.6,78.2,78
1986,174.1,37.2,67.4,111,94.7,48,25.3,109.9,9.5,85.7,93,142.3
1987,52.9,35.1,89.2,64.6,32.6,140,51.4,45.1,67.2,119.5,53.5,38.2
1988,173.9,81,97.3,44.1,50.4,55.9,106.7,78.6,51.7,88.9,50.5,36
1989,20.6,75.3,77.7,115.5,26,54.1,41.4,36.2,23.3,65.3,42.6,159.1
1990,128.7,115.2,21.6,25.9,18.9,46.4,21.5,40.8,30.4,129.7,47.9,136
1991,86.8,68.5,58.7,67.2,14.4,68.6,51.2,8.5,37,54.3,73.1,78.4
1992,43.6,25.9,73.6,41.8,57.6,52.2,77.7,117.7,71.9,66,129.1,67.4
1993,88.1,10.7,16.7,91.8,70.7,108.3,85.3,29.7,121.4,62.8,56.9,171.4
1994,124.4,75.7,78.1,55.3,65.6,14.6,33.1,45,148.2,57.9,103.3,103.9
1995,157.7,99.2,63.9,24.6,48.1,11.3,22.5,12.1,75.6,21.9,60.5,70.4
1996,57,75.1,52.9,37.7,39.1,29.8,24.5,101.1,27.1,70.6,134.3,98.2
1997,8.5,106.5,22,28.2,77.5,130.9,56.7,108.6,17.5,55.8,93.1,79.4
1998,88.5,9.3,93.5,117.9,26.6,152.4,36.5,46.2,49.2,197.9,49.5,57.9
1999,90.8,44.7,82.8,91.6,51,61,30.1,75.4,113.7,55.3,48.2,135.6
2000,49.8,72,43.3,153.3,63.9,46.6,68.5,46.3,117.8,139.5,167.9,118
2001,42.1,79.4,56.2,80.1,58,43.9,57.5,111.9,67.3,113,27,28
2002,55.9,173.9,34.7,40.7,60.9,30.9,133.8,83.4,49.7,145.3,111.1,129.8
2003,60.7,30.8,38.4,44.6,42.6,111.1,44.9,14,22.7,48.2,55.4,81.8
2004,106.5,50.8,41.3,107,49,68.5,45.8,181,34.6,88.2,36.2,46.3
2005,48,64.6,31.7,82.6,17.5,42.2,84,39.9,89.2,113.1,57.4,56.7
2006,18.6,48.5,100.2,49.4,85,9.8,40.9,90.5,62.4,99.1,66.8,114
2007,146.9,57.5,44.5,5.8,83.8,285.6,113,27.1,28.1,23.3,58.3,74.9
2008,154,48.7,98.8,79.2,43.5,56.7,108.7,82.6,92.4,93.2,60,52.8
2009,47,39.6,44.2,51,81.7,168.2,113.4,46.4,26.8,50,161.6,66.1
2010,48.6,53.6,56.4,24.8,21.2,41.2,68.3,39.6,67.8,65.4,112.7,18.8
2011,49.6,104.2,12.4,11.2,40.2,47.8,18,42,27.8,57.2,37.4,124.6
2012,87.6,26.2,32.6,180.6,48,166.6,107.2,99.2,90.6,61.2,110.6,136
2013,70.4,63.4,63.4,9.2,84.2,37.8,56.6,33.4,47.2,136.2,56.6,69.8
2014,124.2,106.2,48.6,60.4,123.8,45.4,20,67.4,9.6,60.8,95.8,102
